trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,59,58,down,0.005,db,0.047067378,0.0008592,156.8681093,156.8681093,157.1679678,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,60,59,down,0.005,db,0.047067378,0.000701,159.4012258,159.4012258,159.7009784,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,61,60,down,0.005,db,0.047040292,0.0006459,161.7677813,161.7677813,162.0676884,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,62,61,down,0.005,db,0.047040292,0.0006552,164.167494,164.167494,164.4674976,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,63,62,down,0.005,db,0.047040292,0.0006312,166.7341198,166.7341198,167.0339726,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,64,63,down,0.005,db,0.047013221,0.0006544,169.3672614,169.3672614,169.6672571,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,65,64,down,0.005,db,0.047013221,0.0006619,171.8506364,171.8506364,172.1503735,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,66,65,down,0.005,db,0.047013221,0.0006613,174.3505687,174.3505687,174.6502762,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,67,66,down,0.005,db,0.046986166,0.0006917,176.967022,176.967022,177.2667205,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,68,67,down,0.005,db,0.046986166,0.0006417,179.3835736,179.3835736,179.6836021,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,69,68,down,0.005,db,0.046986166,0.0006451,181.9000454,181.9000454,182.1999275,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,70,69,down,0.005,db,0.046959126,0.0006524,184.3498798,184.3498798,184.6499107,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,71,70,down,0.005,db,0.046959126,0.0006291,186.8498558,186.8498558,187.1495753,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,72,71,down,0.005,db,0.046959126,0.0006178,189.2329186,189.2329186,189.5328259,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
